County	Adultpatients	Minorpatients	totalPatients	County 	Population 16	patients per 10k pop	County	Caregiver	caregiversper10kpop	patientsdivcaregiv
Marquette	374	0	374	Alcona County	10352	361	Alcona	63	61	6
Mason	907	0	907	Roscommon County	23700	383	Roscommon	152	64	6
Mecosta	"4,174"	8	"4,182"	Livingston County	188624	222	Livingston	697	37	6
Menominee	"2,991"	4	"2,995"	Grand Traverse County	92084	325	Grand Traverse	499	54	6
Midland	217	0	217	Oscoda County	8264	263	Oscoda	36	44	6
Missaukee	"1,257"	2	"1,259"	Isabella County	71282	177	Isabella	207	29	6
Monroe	556	1	557	Cheboygan County	25401	219	Cheboygan	91	36	6
Montcalm	160	0	160	Baraga County	8503	188	Baraga	26	31	6
Montmorency	426	0	426	Leelanau County	21765	196	Leelanau	69	32	6
Muskegon	"3,816"	5	"3,821"	St. Clair County	159587	239	Saint Clair	609	38	6
Newaygo	"25,364"	57	"25,421"	Macomb County	867730	293	Macomb	"3,963"	46	6
Oakland	"4,668"	8	"4,676"	Monroe County	149208	313	Monroe	724	49	6
Oceana	"1,054"	2	"1,056"	Gratiot County	41202	256	Gratiot	163	40	6
Ogemaw	989	0	989	Oceana County	26027	380	Oceana	152	58	7
Ontonagon	"4,897"	3	"4,900"	Saginaw County	192326	255	Saginaw	747	39	7
Osceola	"1,443"	3	"1,446"	Ionia County	64232	225	Ionia	220	34	7
Oscoda	"2,808"	2	"2,810"	Bay County	104747	268	Bay	426	41	7
Otsego	"4,621"	6	"4,627"	Muskegon County	173408	267	Muskegon	688	40	7
Ottawa	"1,567"	3	"1,570"	Midland County	83462	188	Midland	233	28	7
Presque Isle	"31,221"	80	"31,301"	Oakland County	1243970	252	Oakland	"4,595"	37	7
Roscommon	880	0	880	Mecosta County	43221	204	Mecosta	129	30	7
Saginaw	"10,573"	9	"10,582"	Kent County	642173	165	Kent	"1,497"	23	7
Saint Clair	"43,810"	49	"43,859"	Wayne County	1749366	251	Wayne	"6,055"	35	7
Saint Joseph	864	1	865	Iosco County	25327	342	Iosco	119	47	7
Sanilac	806	0	806	Emmet County	33182	243	Emmet	110	33	7
Schoolcraft	735	1	736	Alpena County	28704	256	Alpena	100	35	7
Shiawassee	946	0	946	Mason County	28876	328	Mason	127	44	7
Tuscola	"4,164"	6	"4,170"	Ottawa County	282250	148	Ottawa	540	19	8
Van Buren	"10,978"	10	"10,988"	Washtenaw County	364709	301	Washtenaw	"1,407"	39	8
Washtenaw	60	0	60	Keweenaw County	2199	273	Keweenaw	7	32	9
Wayne	559	0	559	Huron County	31481	178	Huron	63	20	9
Wexford	7	0	7	Unassigned			Una	1		
										
										
										
										
	2									
